,Año,Trimestre,Ingresos (miles de pesos),Periodo
40,2014,1,2984054.2087800005,2014 Q1
37,2014,4,3950440.78037,2014 Q4
39,2014,2,3270816.20391,2014 Q2
38,2014,3,3478637.7427996206,2014 Q3
36,2015,1,4876385.315070001,2015 Q1
35,2015,2,4701790.719660001,2015 Q2
34,2015,3,5153738.8843600005,2015 Q3
33,2015,4,5376899.206,2015 Q4
32,2016,1,5936844.886499999,2016 Q1
31,2016,2,6534240.597500004,2016 Q2
29,2016,4,7483980.393279007,2016 Q4
30,2016,3,6912441.538856647,2016 Q3
28,2017,1,8701201.42137,2017 Q1
27,2017,2,9678646.92829,2017 Q2
26,2017,3,10065997.86215,2017 Q3
25,2017,4,11226127.38858,2017 Q4
22,2018,3,15410980.692582969,2018 Q3
24,2018,1,13171459.230893355,2018 Q1
23,2018,2,14319467.460713817,2018 Q2
21,2018,4,16637686.589009605,2018 Q4
19,2019,2,20743117.694006097,2019 Q2
18,2019,3,21652748.444642507,2019 Q3
17,2019,4,24169250.699015297,2019 Q4
20,2019,1,20207413.77085243,2019 Q1
16,2020,1,29946216.452049132,2020 Q1
15,2020,2,32102475.991463635,2020 Q2
14,2020,3,31997444.530699246,2020 Q3
13,2020,4,33539702.716311768,2020 Q4
9,2021,4,45467887.16501248,2021 Q4
10,2021,3,42999944.292822465,2021 Q3
12,2021,1,36676371.36239245,2021 Q1
11,2021,2,38239666.63354247,2021 Q2
8,2022,1,55219313.0146503,2022 Q1
7,2022,2,60419500.6232803,2022 Q2
6,2022,3,64086784.3305304,2022 Q3
5,2022,4,72443482.9891497,2022 Q4
3,2023,2,118060280.28,2023 Q2
2,2023,3,133106593.41,2023 Q3
1,2023,4,167376014.8,2023 Q4
