Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
Buenos Aires,223391.0,2797700.0,1784593.0,137993.0,67943.0
Capital Federal,58700.0,1198835.0,182520.0,4492.0,29820.0
Catamarca,6669.0,11016.0,55437.0,1384.0,81.0
Chaco,14000.0,60277.0,62301.0,8404.0,2404.0
Chubut,26306.0,77217.0,26174.0,30543.0,9930.0
Córdoba,115662.0,452380.0,440536.0,61862.0,8862.0
Corrientes,21769.0,86102.0,35968.0,10402.0,5231.0
Entre Ríos,41794.0,159575.0,61667.0,24036.0,11565.0
Formosa,10252.0,18325.0,16179.0,17061.0,185.0
Jujuy,11669.0,51083.0,49947.0,4105.0,1216.0
La Pampa,6844.0,59063.0,34331.0,19982.0,1106.0
La Rioja,3296.0,55441.0,22559.0,6395.0,30.0
Mendoza,17676.0,70920.0,182220.0,27609.0,926.0
Misiones,25840.0,79000.0,75382.0,12928.0,7183.0
Neuquén,24122.0,73784.0,41583.0,24390.0,748.0
Río Negro,21192.0,49789.0,64323.0,17284.0,15829.0
Salta,26765.0,98853.0,60800.0,11806.0,6508.0
San Juan,12669.0,18543.0,42691.0,22351.0,6956.0
San Luis,4037.0,41260.0,30135.0,78954.0,299.0
Santa Cruz,7768.0,15669.0,55246.0,7687.0,661.0
Santa Fe,97004.0,398670.0,355762.0,44521.0,13544.0
Santiago Del Estero,8290.0,80692.0,24271.0,7057.0,2920.0
Tierra Del Fuego,9357.0,48071.0,3682.0,157.0,332.0
Tucumán,41318.0,20267.0,199876.0,4357.0,517.0
Buenos Aires,237705.0,2784175.0,1740239.0,137921.0,68197.0
Capital Federal,60765.0,1205339.0,167428.0,4629.0,29823.0
Catamarca,7164.0,11066.0,54650.0,1384.0,91.0
Chaco,16420.0,60058.0,54993.0,8267.0,2408.0
Chubut,26352.0,75460.0,25827.0,30521.0,9908.0
Córdoba,125050.0,453994.0,417338.0,62514.0,10438.0
Corrientes,24253.0,83897.0,36032.0,10407.0,5240.0
Entre Ríos,45384.0,157464.0,54794.0,24481.0,11170.0
Formosa,11230.0,18053.0,14904.0,16899.0,228.0
Jujuy,12627.0,51082.0,48350.0,4067.0,1251.0
La Pampa,6844.0,59063.0,32891.0,20014.0,1109.0
La Rioja,3726.0,55494.0,22054.0,6395.0,32.0
Mendoza,17677.0,73066.0,178719.0,27609.0,951.0
Misiones,27934.0,79087.0,70003.0,12928.0,7183.0
Neuquén,24527.0,73329.0,39243.0,24085.0,3089.0
Río Negro,22422.0,50429.0,56668.0,16864.0,17102.0
Salta,29113.0,98324.0,59914.0,12337.0,6545.0
San Juan,12669.0,19376.0,42383.0,22317.0,6985.0
San Luis,4037.0,41624.0,24525.0,78431.0,299.0
Santa Cruz,8376.0,23931.0,11270.0,3660.0,750.0
Santa Fe,108503.0,397854.0,336013.0,44545.0,13437.0
Santiago Del Estero,9412.0,80919.0,21745.0,6916.0,2936.0
Tierra Del Fuego,9357.0,45203.0,3682.0,157.0,332.0
Tucumán,46348.0,20545.0,195053.0,4088.0,523.0
Buenos Aires,265537.0,2766463.0,1645945.0,138405.0,69138.0
Capital Federal,68348.0,1218631.0,136295.0,4504.0,29900.0
Catamarca,7637.0,10700.0,53177.0,1384.0,92.0
Chaco,19115.0,59944.0,51955.0,8267.0,2574.0
Chubut,33702.0,73689.0,16111.0,30521.0,9938.0
Córdoba,129303.0,453924.0,411703.0,62391.0,10430.0
Corrientes,26821.0,82977.0,32834.0,10407.0,5255.0
Entre Ríos,46503.0,142562.0,49251.0,24461.0,11170.0
Formosa,11934.0,17678.0,13698.0,16813.0,227.0
Jujuy,13749.0,51082.0,47289.0,4067.0,1255.0
La Pampa,7254.0,59101.0,31449.0,19993.0,1113.0
La Rioja,4152.0,55148.0,21245.0,6395.0,32.0
Mendoza,25299.0,71931.0,171857.0,27609.0,980.0
Misiones,28897.0,82058.0,64406.0,12927.0,7183.0
Neuquén,26379.0,73040.0,35171.0,24046.0,3110.0
Río Negro,26390.0,49684.0,53325.0,16864.0,17116.0
Salta,30666.0,97501.0,58275.0,12337.0,6549.0
San Juan,21483.0,20200.0,25217.0,23545.0,7004.0
San Luis,4937.0,41949.0,15595.0,77960.0,307.0
Santa Cruz,9019.0,23896.0,11269.0,3660.0,758.0
Santa Fe,126344.0,399669.0,311166.0,44134.0,14501.0
Santiago Del Estero,10629.0,80086.0,17244.0,6916.0,2934.0
Tierra Del Fuego,12392.0,45224.0,525.0,157.0,337.0
Tucumán,50019.0,20012.0,188986.0,4060.0,525.0
Buenos Aires,304583.0,2761043.0,1551074.0,132458.0,71770.0
Capital Federal,132149.0,1223930.0,156222.0,4605.0,31823.0
Catamarca,6980.0,10655.0,50230.0,1384.0,2243.0
Chaco,21243.0,60727.0,49756.0,8142.0,2574.0
Chubut,45448.0,73525.0,9815.0,30521.0,10744.0
Córdoba,136976.0,455139.0,386297.0,61066.0,10494.0
Corrientes,29577.0,81116.0,30016.0,11071.0,5240.0
Entre Ríos,51084.0,141699.0,44508.0,26415.0,11172.0
Formosa,12502.0,17421.0,13345.0,17490.0,227.0
Jujuy,15306.0,51082.0,46271.0,4067.0,1255.0
La Pampa,7049.0,59944.0,28126.0,20103.0,1282.0
La Rioja,4652.0,54604.0,20722.0,6395.0,32.0
Mendoza,37646.0,73678.0,152534.0,27592.0,1569.0
Misiones,30455.0,82834.0,56619.0,12896.0,7881.0
Neuquén,28030.0,72639.0,32296.0,23937.0,3510.0
Río Negro,33604.0,49128.0,45329.0,16857.0,19413.0
Salta,33427.0,96922.0,56259.0,12269.0,6549.0
San Juan,38568.0,21215.0,12798.0,21912.0,7274.0
San Luis,6283.0,42789.0,6952.0,78954.0,485.0
Santa Cruz,9702.0,23839.0,12217.0,3660.0,943.0
Santa Fe,138935.0,405618.0,283988.0,43487.0,14246.0
Santiago Del Estero,11642.0,80407.0,16656.0,6916.0,2934.0
Tierra Del Fuego,12754.0,43146.0,405.0,157.0,651.0
Tucumán,55822.0,19482.0,180976.0,4293.0,527.0
